bus_num,bus_pd,bus_qd
1,0.00000000000000000000,0.00000000000000000000
2,0.10000000000000000000,0.06000000000000000000
3,0.09000000000000000000,0.04000000000000000000
4,0.12000000000000000000,0.08000000000000000000
5,0.06000000000000000000,0.03000000000000000000
6,0.06000000000000000000,0.02000000000000000000
7,0.20000000000000000000,0.10000000000000000000
8,0.20000000000000000000,0.10000000000000000000
9,0.06000000000000000000,0.02000000000000000000
10,0.06000000000000000000,0.02000000000000000000
11,0.04500000000000000000,0.03000000000000000000
12,0.06000000000000000000,0.03500000000000000000
13,0.06000000000000000000,0.03500000000000000000
14,0.12000000000000000000,0.08000000000000000000
15,0.06000000000000000000,0.01000000000000000000
16,0.06000000000000000000,0.02000000000000000000
17,0.06000000000000000000,0.02000000000000000000
18,0.09000000000000000000,0.04000000000000000000
19,0.09000000000000000000,0.04000000000000000000
20,0.09000000000000000000,0.04000000000000000000
21,0.09000000000000000000,0.04000000000000000000
22,0.09000000000000000000,0.04000000000000000000
23,0.09000000000000000000,0.05000000000000000000
24,0.42000000000000000000,0.20000000000000000000
25,0.42000000000000000000,0.20000000000000000000
26,0.06000000000000000000,0.02500000000000000000
27,0.06000000000000000000,0.02500000000000000000
28,0.06000000000000000000,0.02000000000000000000
29,0.12000000000000000000,0.07000000000000000000
30,0.20000000000000000000,0.60000000000000000000
31,0.15000000000000000000,0.07000000000000000000
32,0.21000000000000000000,0.10000000000000000000
33,0.06000000000000000000,0.04000000000000000000
